claim_id,article_id,title,url,snippet,published_at,date,published_date,source,journalist,club,subject_club,player,season,direction,subject_direction,transfer_type,is_loan,age,position,market_value_eur,transfer_fee_eur,wage_eur_annual,fee_to_market,market_minus_fee_eur,transfer_quality,transfer_indicator,rumor_strength,rumor_indicator,credibility_score,source_reputation_score,journalist_reputation_score,historical_conversion_score,club_specific_score,rumor_stage_score,article_type_score,time_to_confirmation_score,historical_support_n,match_score,ambiguity_flag,entity_match_indicator,rumor_stage,article_type,source_diversity,rumor_count,max_credibility,avg_credibility,max_rumor_strength,avg_rumor_strength,buyer_club,seller_club,target_club,target_role,target_direction,target_entity_type,target_ticker,target_market_symbol,prediction_scope,public_target_count,has_public_buyer,has_public_seller,label,market_feature_backend,market_feature_status,market_feature_notes,event_date_used,event_trading_date,event_trading_offset_days,estimation_points,market_model_alpha,market_model_beta,pre_window_ok_30d,post_window_ok_10d,pre_raw_return_m1,pre_raw_return_m3,pre_raw_return_m5,pre_raw_return_m10,pre_raw_return_m20,pre_raw_return_m30,pre_market_return_m1,pre_market_return_m3,pre_market_return_m5,pre_market_return_m10,pre_market_return_m20,pre_market_return_m30,pre_abnormal_return_m1,pre_abnormal_return_m3,pre_abnormal_return_m5,pre_abnormal_return_m10,raw_return_0_p1,raw_return_0_p3,raw_return_0_p5,raw_return_0_p10,market_return_0_p1,market_return_0_p3,market_return_0_p5,market_return_0_p10,abnormal_return_0_p1,abnormal_return_0_p3,abnormal_return_0_p5,abnormal_return_0_p10,pre_volatility_20d,post_volatility_20d,volatility_shift_20d,pre_close_zscore_20d,event_close_zscore_20d,pre_volume_zscore_20d,event_volume_zscore_20d,relative_volume_20d,target_abnormal_return_p3,target_label_p3,split,actual_label,predicted_label,prediction_confidence,prob_negative,prob_neutral,prob_positive
b23c4c0f9a6f1d3f,6c319f52545abc8c,,,,20230614T163000Z,2023-06-14,2023-06-14,bignewsnetwork.com,,Borussia Dortmund,Borussia Dortmund,Jude Bellingham,2022-23,in,in,unclear,0,,,,,,0.0,0.0,0.0,0.0,0.6274,0.6274,0.5351,0.5,0.5,0.4167,0.1422,0.95,0.9,0.5,1,0.0,0,0.0,official,official,1,1,0.5351,0.5351,0.6274,0.6274,Borussia Dortmund,,Borussia Dortmund,buyer,in,club,BVB.DE,^GDAXI,direct,1,1,0,,vectorbt,ok,,2023-06-14,2023-06-14,0,120,0.001358,0.927953,1,1,0.02349,0.035068,0.059028,0.103739,0.026936,0.061485,0.00825,0.015054,0.014897,0.020226,0.02093,0.03203,0.014477,0.017004,0.037492,0.067338,0.012022,-0.025137,-0.051366,-0.046994,0.003662,-0.001816,-0.012787,-0.017355,0.005973,-0.028628,-0.048124,-0.045527,0.075616,0.013516,-0.0621,-0.190111,-0.073211,-0.693525,-0.505318,0.517148,-0.028628,negative,train,negative,negative,0.8612,0.8612,0.0947,0.0442
c0c8b383a824d703,5c5e806b6cd0cd6a,,,,20230615T164500Z,2023-06-15,2023-06-15,hypebeast.com,,Borussia Dortmund,Borussia Dortmund,Jude Bellingham,2022-23,unclear,unclear,unclear,0,,,,,,0.0,0.0,0.0,0.0,0.4544,0.4544,0.4401,0.5,0.5,0.4167,0.1422,0.4,0.65,0.5,1,0.0,0,0.0,unclear,report,1,1,0.4401,0.4401,0.4544,0.4544,,,,,,,,,none,0,0,0,,vectorbt,no_public_target,no_public_target,2023-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intelligence_only,,,,,,
21d57994d8dfd201,21cb6900fa532e31,,,,20210701T154500Z,2021-07-01,2021-07-01,pressandjournal.co.uk,,Manchester United,Manchester United,Jadon Sancho,2021-22,in,in,permanent,0,21.0,Left Winger,100000000.0,85000000.0,,0.85,15000000.0,0.7337,0.6069,0.5281,0.5281,0.5036,0.5,0.5,0.5833,0.3691,0.4,0.65,0.65,1,0.88,0,0.7333,unclear,report,1,1,0.5036,0.5036,0.5281,0.5281,Manchester United,Dortmund,Manchester United,buyer,in,club,MANU,^GSPC,direct,2,1,1,,vectorbt,ok,,2021-07-01,2021-07-01,0,118,-0.00087,0.514125,1,1,-0.001315,-0.021893,-0.0181,-0.017464,-0.029393,-0.043451,0.001328,0.003925,0.013122,0.017473,0.02124,0.041104,-0.001128,-0.021382,-0.020467,-0.01772,0.009217,-0.016458,-0.011192,-0.005925,0.012761,0.014108,0.016766,0.006902,0.004399,-0.020144,-0.014431,0.000371,0.008313,0.012834,0.004522,-2.165566,-1.304506,-0.300026,0.509687,1.318305,-0.020144,negative,train,negative,negative,0.7541,0.7541,0.185,0.0608
21d57994d8dfd201,21cb6900fa532e31,,,,20210701T154500Z,2021-07-01,2021-07-01,pressandjournal.co.uk,,Borussia Dortmund,Manchester United,Jadon Sancho,2021-22,out,in,permanent,0,21.0,Left Winger,100000000.0,85000000.0,,0.85,15000000.0,0.6362,0.5556,0.5281,0.5281,0.5036,0.5,0.5,0.5833,0.3691,0.4,0.65,0.65,1,0.88,0,0.7333,unclear,report,1,1,0.5036,0.5036,0.5281,0.5281,Manchester United,Dortmund,Borussia Dortmund,seller,out,club,BVB.DE,^GDAXI,direct,2,1,1,,vectorbt,ok,,2021-07-01,2021-07-01,0,119,0.00087,0.58744,1,1,-0.002408,-0.011924,-0.006395,-0.026625,0.022204,-0.02203,-0.010169,-0.004929,0.00483,-0.011427,-0.004593,0.009389,0.002696,-0.011722,-0.013528,-0.028696,0.010459,0.016895,-0.037812,-0.012872,0.007665,-0.001266,-0.007108,0.00635,0.004783,0.014616,-0.03832,-0.024759,0.011205,0.017825,0.00662,-0.81251,0.548206,-0.453183,0.753662,1.388039,0.014616,neutral,train,neutral,neutral,0.8509,0.1044,0.8509,0.0446
c8242c7d6f1024f3,2630c408b54ee63e,,,,20230728T104500Z,2023-07-28,2023-07-28,caughtoffside.com,,Manchester United,Manchester United,Rasmus Højlund,2023-24,in,in,permanent,0,20.0,Centre-Forward,45000000.0,77800000.0,,1.7289,-32800000.0,0.511,0.3888,0.5263,0.5263,0.5023,0.5,0.5,0.5769,0.3691,0.4,0.65,0.65,8,0.88,0,0.7333,unclear,report,1,1,0.5023,0.5023,0.5263,0.5263,Manchester United,Atalanta,Manchester United,buyer,in,club,MANU,^GSPC,direct,1,1,0,,vectorbt,ok,,2023-07-28,2023-07-28,0,120,0.00031,0.270597,1,1,-0.011675,-0.011231,0.002733,-0.040959,-0.123806,-0.038865,-0.006425,-0.003783,0.00056,0.006069,0.036682,0.038544,-0.010246,-0.011131,0.001638,-0.043141,0.006815,-0.070423,-0.069514,0.040436,0.011361,-0.005294,-0.013087,-0.016168,0.003496,-0.068525,-0.065746,0.054985,0.021053,0.04531,0.024258,-1.263195,-0.645396,-1.087106,-0.567143,0.728477,-0.068525,negative,train,negative,negative,0.7623,0.7623,0.1491,0.0887
f2574ff8a59eaba5,d8f66574b582ead9,,,,20230801T210000Z,2023-08-01,2023-08-01,caughtoffside.com,,Manchester United,Manchester United,Rasmus Højlund,2023-24,in,in,permanent,0,20.0,Centre-Forward,45000000.0,77800000.0,,1.7289,-32800000.0,0.511,0.3888,0.6803,0.6803,0.5873,0.5,0.5,0.5769,0.3691,0.9,0.65,0.85,8,0.9,0,0.75,medical,report,1,1,0.5873,0.5873,0.6803,0.6803,Manchester United,Atalanta,Manchester United,buyer,in,club,MANU,^GSPC,direct,1,1,0,,vectorbt,ok,,2023-08-01,2023-08-01,0,120,0.000423,0.270161,1,1,-0.015986,-0.004939,-0.004492,-0.063002,-0.091058,-0.106812,0.001469,0.004863,0.007535,0.01463,0.031139,0.036856,-0.016806,-0.007089,-0.0082,-0.069933,-0.076715,-0.075812,0.05731,0.066336,-0.016468,-0.024173,-0.019521,-0.032927,-0.072256,-0.069707,0.072253,0.084323,0.021816,0.044941,0.023126,-0.960237,-3.022862,-0.620927,3.904944,2.920781,-0.069707,negative,train,negative,negative,0.8168,0.8168,0.0819,0.1013
4ec8f9c77564f43c,2cf45bfd3fcfb930,,,,20230729T150000Z,2023-07-29,2023-07-29,thepeoplesperson.com,,Manchester United,Manchester United,Rasmus Højlund,2023-24,in,in,permanent,0,20.0,Centre-Forward,45000000.0,77800000.0,,1.7289,-32800000.0,0.511,0.3888,0.5688,0.5688,0.5255,0.5,0.5,0.6429,0.3691,0.4,0.65,0.85,2,0.9,0,0.75,unclear,report,1,1,0.5255,0.5255,0.5688,0.5688,Manchester United,Atalanta,Manchester United,buyer,in,club,MANU,^GSPC,direct,1,1,0,,vectorbt,ok,,2023-07-29,2023-07-31,2,120,0.000134,0.27068,1,1,0.023171,0.009413,0.041628,-0.017452,-0.083435,-0.030146,0.009878,0.003234,0.010116,0.017048,0.042259,0.047944,0.020364,0.008409,0.038136,-0.019857,-0.100355,-0.106572,0.040853,0.073712,-0.0012,-0.017533,-0.013921,-0.020189,-0.10167,-0.104248,0.056901,0.09076,0.021672,0.045147,0.023474,-0.645396,-0.960237,-0.567143,-0.620927,0.702869,-0.104248,negative,train,negative,negative,0.9219,0.9219,0.0405,0.0376
3744987aac524efb,52441ca4ab8897b6,,,,20250807T110000Z,2025-08-07,2025-08-07,teamtalk.com,,Manchester United,Manchester United,Benjamin Sesko,2025-26,in,in,permanent,0,22.0,Centre-Forward,70000000.0,76500000.0,,1.0929,-6500000.0,0.7041,0.5358,0.5097,0.5097,0.4797,0.5,0.5,0.3889,0.3691,0.4,0.65,0.95,4,0.9,0,0.75,unclear,report,1,1,0.4797,0.4797,0.5097,0.5097,Manchester United,Leipzig,Manchester United,buyer,in,club,MANU,^GSPC,direct,1,1,0,,vectorbt,ok,,2025-08-07,2025-08-07,0,120,0.000708,0.749604,1,1,-0.001666,0.023335,0.022172,-0.010457,0.017544,-0.065489,0.007282,0.017161,-0.002804,-0.002178,0.01306,0.041509,-0.007833,0.008237,0.020441,-0.015299,-0.026696,-0.022247,-0.031146,-0.043938,0.006996,0.015871,0.019461,0.003957,-0.033331,-0.036727,-0.049913,-0.054853,0.011961,0.023098,0.011137,1.300427,1.272391,-1.16504,-0.174994,0.957631,-0.036727,negative,test,negative,neutral,0.5806,0.2764,0.5806,0.143
c7535394d2e8856c,c3dd2c7fd2de0b10,,,,20250601T163000Z,2025-06-01,2025-06-01,telecomasia.net,,Manchester United,Manchester United,Matheus Cunha,2024-25,in,in,unclear,0,,,,,,0.0,0.0,0.0,0.0,0.4634,0.4634,0.4627,0.5,0.5,0.4167,0.3691,0.4,0.65,0.5,1,0.0,0,0.0,unclear,report,1,1,0.4627,0.4627,0.4634,0.4634,Manchester United,,Manchester United,buyer,in,club,MANU,^GSPC,direct,1,1,0,,vectorbt,ok,,2025-06-01,2025-06-02,1,120,-0.001749,0.608601,1,1,0.020158,0.005678,0.066215,0.020893,0.029049,0.026812,-8.1e-05,-0.001663,0.011927,-0.000886,0.054879,0.120551,0.021957,0.012177,0.066904,0.044296,0.001411,-0.025406,0.200423,0.240649,0.009926,0.00467,0.015933,0.020539,-0.001086,-0.021374,0.20014,0.239466,0.026715,0.048198,0.021483,0.190945,-0.077491,0.200055,-0.422491,0.7278,-0.021374,negative,train,negative,negative,0.8855,0.8855,0.0857,0.0288
ebad462f299b0ba7,4f43e2f463088ba0,,,,20220707T173000Z,2022-07-07,2022-07-07,thehardtackle.com,,Juventus,Juventus,Matthijs de Ligt,2022-23,out,out,permanent,0,22.0,Centre-Back,70000000.0,67000000.0,,0.9571,3000000.0,0.6604,0.5838,0.4903,0.4903,0.4819,0.5,0.5,0.4375,0.4439,0.4,0.65,0.65,3,0.88,0,0.7333,unclear,report,1,1,0.4819,0.4819,0.4903,0.4903,Bayern Munich,Juventus,Juventus,seller,out,club,JUVE.MI,FTSEMIB.MI,direct,1,0,1,,vectorbt,ok,,2022-07-07,2022-07-07,0,120,0.002599,0.980863,1,1,0.00441,0.012785,-0.003282,-0.011931,-0.060825,0.044126,0.010432,-0.020323,-0.041816,-0.039837,-0.136816,-0.137278,-0.008421,0.024666,0.025002,0.0013,0.059275,-0.039517,-0.083974,-0.031833,0.040772,0.027006,-0.017542,0.013192,0.013576,-0.074157,-0.082806,-0.070006,0.024351,0.025116,0.000765,0.070646,0.855304,-0.925117,0.095276,1.034514,-0.074157,negative,train,negative,negative,0.5867,0.5867,0.0903,0.323
